Iteration	Ident	Success
4	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
5	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	False
5	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	True
6	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	False
6	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
8	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
9	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	False
9	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
10	external_effects_pnode	False
11	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
12	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	True
13	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
14	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
15	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
16	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
17	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
18	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
19	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
20	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
21	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
22	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
23	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
24	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
25	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
26	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
26	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
27	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
28	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
29	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
30	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
31	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
32	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
33	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
34	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
35	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
36	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
37	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	False
38	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	True
39	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
40	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
41	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
42	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
43	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
44	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
45	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	False
46	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
47	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
48	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
49	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
50	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
51	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
52	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
